localTime,epochMs,elapsedSec,hr,avgHr,hrr,vo2Rel_mlkgmin,vo2Abs_Lmin,intervalSec
2025-09-10 16:53:02.103,1757490782103,1849,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:53:03.128,1757490783128,1850,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:04.103,1757490784103,1851,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:05.175,1757490785175,1852,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:06.101,1757490786101,1853,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:07.122,1757490787122,1854,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:08.100,1757490788100,1855,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:09.123,1757490789123,1856,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:10.101,1757490790101,1857,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:11.121,1757490791121,1858,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:12.098,1757490792098,1859,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:13.122,1757490793122,1860,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:53:14.096,1757490794096,1861,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:53:15.215,1757490795215,1862,126,126,0.440901,19.592871,1.273537,1
2025-09-10 16:53:16.191,1757490796191,1863,127,127,0.450281,19.935272,1.295793,1
2025-09-10 16:53:17.119,1757490797119,1864,127,127,0.450281,19.935272,1.295793,1
2025-09-10 16:53:18.139,1757490798139,1865,128,128,0.459662,20.277674,1.318049,1
2025-09-10 16:53:19.117,1757490799117,1866,128,128,0.459662,20.277674,1.318049,1
2025-09-10 16:53:20.139,1757490800139,1867,129,129,0.469043,20.620075,1.340305,1
2025-09-10 16:53:21.162,1757490801162,1868,129,129,0.469043,20.620075,1.340305,1
2025-09-10 16:53:22.138,1757490802138,1869,130,130,0.478424,20.962477,1.362561,1
2025-09-10 16:53:23.162,1757490803162,1870,130,130,0.478424,20.962477,1.362561,1
2025-09-10 16:53:24.139,1757490804139,1871,130,130,0.478424,20.962477,1.362561,1
2025-09-10 16:53:25.111,1757490805111,1872,129,129,0.469043,20.620075,1.340305,1
2025-09-10 16:53:26.136,1757490806136,1873,129,129,0.469043,20.620075,1.340305,1
2025-09-10 16:53:27.133,1757490807133,1874,128,128,0.459662,20.277674,1.318049,1
2025-09-10 16:53:28.137,1757490808137,1875,127,127,0.450281,19.935272,1.295793,1
2025-09-10 16:53:29.112,1757490809112,1876,127,127,0.450281,19.935272,1.295793,1
2025-09-10 16:53:30.132,1757490810132,1877,126,126,0.440901,19.592871,1.273537,1
2025-09-10 16:53:31.160,1757490811160,1878,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:53:32.134,1757490812134,1879,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:33.112,1757490813112,1880,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:34.131,1757490814131,1881,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:35.152,1757490815152,1882,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:36.181,1757490816181,1883,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:53:37.206,1757490817206,1884,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:53:38.179,1757490818179,1885,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:53:39.105,1757490819105,1886,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:53:40.174,1757490820174,1887,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:53:41.106,1757490821106,1888,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:53:42.132,1757490822132,1889,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:43.107,1757490823107,1890,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:53:44.123,1757490824123,1891,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:53:45.098,1757490825098,1892,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:53:46.123,1757490826123,1893,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:53:47.161,1757490827161,1894,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:53:48.173,1757490828173,1895,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:53:49.148,1757490829148,1896,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:53:50.130,1757490830130,1897,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:53:51.097,1757490831097,1898,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:53:52.120,1757490832120,1899,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:53:53.095,1757490833095,1900,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:53:54.171,1757490834171,1901,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:53:55.093,1757490835093,1902,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:53:56.119,1757490836119,1903,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:53:57.141,1757490837141,1904,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:53:58.121,1757490838121,1905,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:53:59.191,1757490839191,1906,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:54:00.122,1757490840122,1907,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:54:01.191,1757490841191,1908,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:54:02.121,1757490842121,1909,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:54:03.188,1757490843188,1910,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:54:04.114,1757490844114,1911,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:54:05.135,1757490845135,1912,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:54:06.112,1757490846112,1913,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:54:07.136,1757490847136,1914,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:54:08.113,1757490848113,1915,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:54:09.135,1757490849135,1916,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:10.112,1757490850112,1917,121,121,0.393996,17.880863,1.162256,1
2025-09-10 16:54:11.134,1757490851134,1918,120,120,0.384615,17.538462,1.140000,1
2025-09-10 16:54:12.118,1757490852118,1919,120,120,0.384615,17.538462,1.140000,1
2025-09-10 16:54:13.183,1757490853183,1920,120,120,0.384615,17.538462,1.140000,1
2025-09-10 16:54:14.108,1757490854108,1921,120,120,0.384615,17.538462,1.140000,1
2025-09-10 16:54:15.180,1757490855180,1922,121,121,0.393996,17.880863,1.162256,1
2025-09-10 16:54:16.107,1757490856107,1923,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:17.224,1757490857224,1924,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:54:18.105,1757490858105,1925,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:54:19.131,1757490859131,1926,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:54:20.096,1757490860096,1927,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:54:21.128,1757490861128,1928,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:54:22.153,1757490862153,1929,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:54:23.127,1757490863127,1930,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:54:24.103,1757490864103,1931,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:54:25.120,1757490865120,1932,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:54:26.098,1757490866098,1933,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:54:27.123,1757490867123,1934,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:54:28.095,1757490868095,1935,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:29.133,1757490869133,1936,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:30.097,1757490870097,1937,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:31.121,1757490871121,1938,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:32.100,1757490872100,1939,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:33.136,1757490873136,1940,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:54:34.093,1757490874093,1941,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:35.116,1757490875116,1942,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:36.092,1757490876092,1943,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:37.167,1757490877167,1944,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:38.137,1757490878137,1945,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:39.167,1757490879167,1946,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:40.186,1757490880186,1947,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:41.116,1757490881116,1948,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:42.186,1757490882186,1949,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:43.114,1757490883114,1950,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:54:44.185,1757490884185,1951,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:54:45.111,1757490885111,1952,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:54:46.138,1757490886138,1953,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:54:47.110,1757490887110,1954,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:54:48.147,1757490888147,1955,126,126,0.440901,19.592871,1.273537,1
2025-09-10 16:54:49.109,1757490889109,1956,127,127,0.450281,19.935272,1.295793,1
2025-09-10 16:54:50.133,1757490890133,1957,127,127,0.450281,19.935272,1.295793,1
2025-09-10 16:54:51.160,1757490891160,1958,128,128,0.459662,20.277674,1.318049,1
2025-09-10 16:54:52.131,1757490892131,1959,128,128,0.459662,20.277674,1.318049,1
2025-09-10 16:54:53.106,1757490893106,1960,128,128,0.459662,20.277674,1.318049,1
2025-09-10 16:54:54.132,1757490894132,1961,129,129,0.469043,20.620075,1.340305,1
2025-09-10 16:54:55.205,1757490895205,1962,129,129,0.469043,20.620075,1.340305,1
2025-09-10 16:54:56.131,1757490896131,1963,129,129,0.469043,20.620075,1.340305,1
2025-09-10 16:54:57.105,1757490897105,1964,130,130,0.478424,20.962477,1.362561,1
2025-09-10 16:54:58.129,1757490898129,1965,130,130,0.478424,20.962477,1.362561,1
2025-09-10 16:54:59.101,1757490899101,1966,131,131,0.487805,21.304878,1.384817,1
2025-09-10 16:55:00.126,1757490900126,1967,131,131,0.487805,21.304878,1.384817,1
2025-09-10 16:55:01.151,1757490901151,1968,131,131,0.487805,21.304878,1.384817,1
2025-09-10 16:55:02.124,1757490902124,1969,130,130,0.478424,20.962477,1.362561,1
2025-09-10 16:55:03.102,1757490903102,1970,130,130,0.478424,20.962477,1.362561,1
2025-09-10 16:55:04.173,1757490904173,1971,130,130,0.478424,20.962477,1.362561,1
2025-09-10 16:55:05.100,1757490905100,1972,129,129,0.469043,20.620075,1.340305,1
2025-09-10 16:55:06.126,1757490906126,1973,129,129,0.469043,20.620075,1.340305,1
2025-09-10 16:55:07.098,1757490907098,1974,129,129,0.469043,20.620075,1.340305,1
2025-09-10 16:55:08.125,1757490908125,1975,128,128,0.459662,20.277674,1.318049,1
2025-09-10 16:55:09.096,1757490909096,1976,128,128,0.459662,20.277674,1.318049,1
2025-09-10 16:55:10.117,1757490910117,1977,127,127,0.450281,19.935272,1.295793,1
2025-09-10 16:55:11.096,1757490911096,1978,127,127,0.450281,19.935272,1.295793,1
2025-09-10 16:55:12.119,1757490912119,1979,126,126,0.440901,19.592871,1.273537,1
2025-09-10 16:55:13.097,1757490913097,1980,126,126,0.440901,19.592871,1.273537,1
2025-09-10 16:55:14.119,1757490914119,1981,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:55:15.088,1757490915088,1982,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:55:16.172,1757490916172,1983,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:55:17.093,1757490917093,1984,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:55:18.165,1757490918165,1985,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:55:19.142,1757490919142,1986,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:55:20.124,1757490920124,1987,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:55:21.140,1757490921140,1988,121,121,0.393996,17.880863,1.162256,1
2025-09-10 16:55:22.114,1757490922114,1989,120,120,0.384615,17.538462,1.140000,1
2025-09-10 16:55:23.137,1757490923137,1990,120,120,0.384615,17.538462,1.140000,1
2025-09-10 16:55:24.113,1757490924113,1991,120,120,0.384615,17.538462,1.140000,1
2025-09-10 16:55:25.140,1757490925140,1992,121,121,0.393996,17.880863,1.162256,1
2025-09-10 16:55:26.160,1757490926160,1993,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:55:27.134,1757490927134,1994,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:55:28.159,1757490928159,1995,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:55:29.135,1757490929135,1996,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:55:30.171,1757490930171,1997,121,121,0.393996,17.880863,1.162256,1
2025-09-10 16:55:31.132,1757490931132,1998,120,120,0.384615,17.538462,1.140000,1
2025-09-10 16:55:32.106,1757490932106,1999,119,119,0.375235,17.196060,1.117744,1
2025-09-10 16:55:33.133,1757490933133,2000,118,118,0.365854,16.853659,1.095488,1
2025-09-10 16:55:34.105,1757490934105,2001,118,118,0.365854,16.853659,1.095488,1
2025-09-10 16:55:35.127,1757490935127,2002,117,117,0.356473,16.511257,1.073232,1
2025-09-10 16:55:36.105,1757490936105,2003,117,117,0.356473,16.511257,1.073232,1
2025-09-10 16:55:37.127,1757490937127,2004,116,116,0.347092,16.168856,1.050976,1
2025-09-10 16:55:38.150,1757490938150,2005,115,115,0.337711,15.826454,1.028720,1
2025-09-10 16:55:39.127,1757490939127,2006,115,115,0.337711,15.826454,1.028720,1
2025-09-10 16:55:40.103,1757490940103,2007,115,115,0.337711,15.826454,1.028720,1
2025-09-10 16:55:41.128,1757490941128,2008,116,116,0.347092,16.168856,1.050976,1
2025-09-10 16:55:42.102,1757490942102,2009,116,116,0.347092,16.168856,1.050976,1
2025-09-10 16:55:43.224,1757490943224,2010,116,116,0.347092,16.168856,1.050976,1
2025-09-10 16:55:44.101,1757490944101,2011,116,116,0.347092,16.168856,1.050976,1
2025-09-10 16:55:45.172,1757490945172,2012,116,116,0.347092,16.168856,1.050976,1
2025-09-10 16:55:46.096,1757490946096,2013,117,117,0.356473,16.511257,1.073232,1
2025-09-10 16:55:47.171,1757490947171,2014,118,118,0.365854,16.853659,1.095488,1
2025-09-10 16:55:48.094,1757490948094,2015,120,120,0.384615,17.538462,1.140000,1
2025-09-10 16:55:49.171,1757490949171,2016,121,121,0.393996,17.880863,1.162256,1
2025-09-10 16:55:50.093,1757490950093,2017,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:55:51.120,1757490951120,2018,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:55:52.095,1757490952095,2019,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:55:53.119,1757490953119,2020,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:55:54.092,1757490954092,2021,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:55:55.121,1757490955121,2022,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:55:56.193,1757490956193,2023,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:55:57.114,1757490957114,2024,122,122,0.403377,18.223265,1.184512,1
2025-09-10 16:55:58.139,1757490958139,2025,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:55:59.113,1757490959113,2026,123,123,0.412758,18.565666,1.206768,1
2025-09-10 16:56:00.187,1757490960187,2027,124,124,0.422139,18.908068,1.229024,1
2025-09-10 16:56:01.115,1757490961115,2028,125,125,0.431520,19.250469,1.251280,1
2025-09-10 16:56:02.136,1757490962136,2029,127,127,0.450281,19.935272,1.295793,1